"Modules"	"GSM1594268"	"GSM1594269"	"GSM1594270"	"GSM1594271"	"GSM1594272"
"T cells/ T cell differentiation, NK cells"	-1.16777182605986	-0.800309095054685	0.0615725274075374	-2.12217447629607	-1.53536804663614
"Inflammation/ Neutrophils, Monocytes (I)"	1.87854321343591	0.776990226841123	0.727050382213202	1.29781092697278	0.787838747666909
"T cells/ Leukocytes, T cells"	-0.232937186384446	0.271049017586612	0.0422348336289717	-0.534405636701118	-1.07155073679488
"Erythrocytes/ Cell cycle (I)"	0.510154132024208	1.31582502038083	-0.122171319191833	0.661384529766203	1.57026241287927
"Mitochondrial stress/ Proteasome (I)"	-0.167072757819908	-0.468005915998728	0.629114372199725	-1.25466009361218	-0.505911885384839
"Inflammation/ Cell cycle, Phosphatidylinositol (I)"	1.30959275278216	0.212739203745618	1.12775923803793	0.588430177675632	0.657778999098675
"Monocytes/ TLR8-BAFF"	-0.197846957924124	0.0916500920904789	-0.292348722765219	-2.14253379418004	-0.210018951348457
"Inflammation/ Platelets"	0.854544036606568	0.685880063957328	-0.315065783013244	-0.620235126764457	-0.453110850616969
"Interferon/ Dendritic cells"	0.872094815284018	0.919193313913732	2.05245127818989	1.50698402282131	2.88308816256722
"Apoptosis/ Monocytes, Dendritic cells"	2.10522118715945	0.484156646104391	0.915501013598051	1.22228774166323	1.01189611646074
"Mitochondrial stress/ Spliceosome (I)"	-0.204972412842049	-0.466972078326394	0.305934421354807	-1.63574644367857	-1.02651821282736
"Platelets (I)"	0.57674777020234	0.451427946163167	-0.117038691423349	1.81598234759049	0.0335079060804436
"Naive B cells"	1.60283285289829	0.498329941515312	0.838548284430128	1.61376822730167	0.153099975399809
"Apoptosis/ CORO1A-DEF6"	1.07776618187384	-0.0664587826598003	0.817319788184773	0.101347426289849	-0.0613657870705132
"Inflammation/ Neutrophils, Monocytes (II)"	1.64898048772782	0.781345880751019	0.447492008623863	1.2383587259194	-0.156203202686837
"Cytoskeletal remodeling"	-0.178157922477482	0.740191654606167	-0.825552521210178	-1.56448772384522	-1.76126751260321
"Inflammation/ Dendritic cell, Monocytes"	1.23359177413832	0.511075243007638	0.745217342628091	0.0568935071783064	-0.0295144482731271
"NK cells"	-1.50310085997545	-0.71015303114435	0.122230313414795	-0.389702317368543	-1.12382947610067
"BCR signaling"	1.54466323550944	0.510278434661505	0.890116383500795	0.263188487356583	0.0640581683400701
"Inflammation/ Cell cycle, Phosphatidylinositol (II)"	0.450113608527217	-0.60694444970926	0.695278579771595	0.631319991833502	0.0840740581365321
"Hox cluster VI"	0.315763817618325	0.577861978724214	-0.613104765680164	0.822564298715375	0.823957943128778
"Erythrocytes/ Cell cycle (II)"	0.463952333709585	0.736999532861835	-0.347672939643873	-0.302502004431433	0.327714750509731
"Plasma cells/ Immunoglobulins"	1.12969893415567	-0.802381566866015	2.2606419731317	-1.40040234698572	-0.387742998417496
"Generic"	1.32882366867211	0.106230107973044	1.08896751991953	0.879666228266397	0.166674593894329
"Interferon/ proteasome"	0.0126185655908543	-0.303974720127631	1.6376521376941	-0.881828140611263	0.625250258643759
"Mitochondrial stress/ NK cells"	-0.00335351375543649	0.0377133345023514	0.0162881608790097	-0.670759283577052	-0.143834701740478
"Neutrophil/ Extracellular matrix"	3.1435835990448	1.01103314859651	0.743545060913253	1.50716068773343	4.18527050009039
"Inflammation/ Neutrophils"	2.73004492444668	1.35466438429902	0.472888683191533	1.03785202348058	0.949175370117242
"Erythrocytes/ Cell cycle (III)"	-0.144322930938902	0.59014563313791	-0.209356504348764	0.804765218454091	1.01015993401311
"Mitochondrial stress/ Spliceosome (II)"	0.416723444078827	-1.14803490953691	0.181920950118157	-0.782804177157496	-1.19571187611721
"Platelets (II)"	1.45502582135337	0.00727755316704513	0.928170748603315	2.01885443473262	0.265384836523969
"Mitochondrial stress/ Proteasome (II)"	0.796809525263887	0.0675262478701196	1.13947108389368	-1.0788757778157	-0.619189363589763
"Plasma cells/ Immunoglobulins, T cells"	1.0702882052066	-0.406599320615083	3.08132156125116	-0.0424517740622868	0.8767854328796
"Erythrocytes (I)"	-0.0617264396976462	0.0333772192851794	0.404161724880932	-0.665471173202433	-0.50292316482054
"Erythrocytes (II)"	-0.235004012694967	0.616219869374035	-0.261761800258404	-1.94315264116798	-0.321401366787754
"T cells/ CORO1A-DEF6"	-1.43900436447833	0.321233151622597	0.909034248605517	-1.1244666757888	-1.11577509089616
"Mitochondrial stress/ Spliceosome (III)"	0.254118542026247	-0.673954709892241	0.643106884364536	-1.53776104349691	-0.673901029755366
